Address,Longitude,Latitude,Price,Type,Room count,Construction year,Risk of burglary,Distance to pharmacy,Distance to daycare,Distance to grocery store,Size,Squaremeter price,Energy class,Zipcode
"Amerika Plads 34, 6. tv",55.700323,12.594718,8999000,Ejerlejlighed,4.0,1920.0,lav,568.5,307,256.0,132,68174,B,2100
"Hjørringgade 15, 3. th",55.706178,12.587776,4625000,Ejerlejlighed,3.0,1899.0,lav,765.0,165,80.0,74,62500,D,2100
Engelstedsgade 7,55.70995,12.55932,10995000,Rækkehus,6.0,1915.0,lav,568.5,250,156.0,162,67870,C,2100
"Willemoesgade 91, 2. th",55.699848,12.590779,6495000,Ejerlejlighed,4.0,1920.0,lav,814.0,138,310.0,102,63676,C,2100
"Classensgade 72, st. tv",55.69887,12.591299,8195000,Ejerlejlighed,6.0,1920.0,lav,856.0,163,222.0,139,58956,C,2100
"Webersgade 17, 3. tv",55.690652,12.572693,5000000,Ejerlejlighed,3.0,1920.0,lav,746.0,239,183.0,66,75757,C,2100
Strandøre 17,55.720754,12.581703,29000000,Villa,8.0,1928.0,lav,609.0,524,247.0,223,130044,D,2100
Strandøre 6A,55.720989,12.578798,13995000,Rækkehus,3.0,2016.0,lav,545.0,448,80.0,158,88575,A,2100
"Classensgade 19A, 2. tv",55.697332,12.582951,9795000,Ejerlejlighed,5.0,1909.0,lav,429.0,228,181.0,138,70978,D,2100
"Rosenvængets Allé 17, 5. th",55.699283,12.580777,7750000,Ejerlejlighed,3.0,1920.0,lav,192.0,47,188.0,113,68584,D,2100
"Scherfigsvej 13, 2. tv",55.72194,12.580712,8500000,Ejerlejlighed,4.0,1920.0,lav,464.0,595,242.0,117,72649,A,2100
Rosbæksvej 10,55.722893,12.575502,16495000,Villa,5.0,1961.0,mellem,379.0,402,303.0,160,103093,F,2100
"Nordre Frihavnsgade 24, 1. 3",55.701031,12.580498,6295000,Ejerlejlighed,3.0,1976.0,lav,199.0,151,7.0,98,64234,C,2100
"Stockholmsgade 57, st. ",55.692636,12.583336,26000000,Ejerlejlighed,9.0,1920.0,lav,880.0,350,320.0,320,81250,C,2100
"Holsteinsgade 19, 5. tv",55.698993,12.58421,8250000,Ejerlejlighed,3.0,1920.0,lav,410.0,115,196.0,109,75688,B,2100
"Willemoesgade 45, 1. ",55.698311,12.584412,11995000,Ejerlejlighed,5.0,1920.0,lav,447.0,168,127.0,188,63803,C,2100
"Østbanegade 43, 2. 3",55.698399,12.591517,3395000,Ejerlejlighed,2.0,1920.0,lav,878.0,185,192.0,59,57542,C,2100
Berggreensgade 56,55.715361,12.573107,12995000,Rækkehus,6.0,1902.0,lav,716.0,168,326.0,136,95551,C,2100
"Marstalsgade 36, 5. th",55.703945,12.589464,3295000,Ejerlejlighed,2.0,1920.0,lav,854.0,106,211.0,51,64607,D,2100
Vangehusvej 5,55.719824,12.575537,11495000,Rækkehus,4.0,1909.0,lav,697.0,291,166.0,141,81524,C,2100
"Viborggade 61, 4. th",55.705767,12.583746,10795000,Ejerlejlighed,6.0,1920.0,lav,579.0,104,121.0,151,71490,C,2100
Strandboulevarden 71A,55.704863,12.586716,6645000,Ejerlejlighed,4.0,1920.0,lav,778.0,126,178.0,133,49962,C,2100
"Halsskovgade 4, 4. 401",55.707844,12.581713,3695000,Ejerlejlighed,2.0,1965.0,lav,337.0,26,78.0,72,51319,D,2100
"Aggersborggade 9, st. tv",55.699222,12.586849,4498000,Ejerlejlighed,4.0,1920.0,lav,570.0,108,205.0,80,56225,D,2100
"Silkeborggade 30, 5. th",55.707327,12.584606,7995000,Ejerlejlighed,3.0,1920.0,lav,527.0,157,103.0,114,70131,C,2100
"Ryesgade 112A, 5. th",55.697417,12.576172,5495000,Ejerlejlighed,3.0,1885.0,lav,305.0,343,98.0,74,74256,D,2100
"Landskronagade 36, st. ",55.713375,12.574136,3295000,Ejerlejlighed,2.0,1920.0,lav,487.0,231,218.0,49,67244,C,2100
"Hjørringgade 5, st. th",55.706129,12.587321,5749999,Ejerlejlighed,4.0,1920.0,lav,742.0,172,58.0,98,58673,D,2100
"Holsteinsgade 44, 1. th",55.699348,12.586691,5795000,Ejerlejlighed,4.0,1920.0,lav,558.0,91,215.0,81,71543,D,2100
"Victor Bendix Gade 16, st. th",55.711919,12.566346,4290000,Ejerlejlighed,3.0,1920.0,lav,743.0,98,257.0,91,47142,C,2100
"Fiskedamsgade 27A, 2. th",55.700232,12.586778,2200000,Ejerlejlighed,1.0,1920.0,lav,560.0,83,312.0,37,59459,C,2100
"Langelinie Allé 25A, 3. th",55.698567,12.599851,20000000,Ejerlejlighed,5.0,1920.0,lav,568.5,479,349.0,189,105820,B,2100
H.C. Lumbyes Gade 60,55.715393,12.572784,11495000,Rækkehus,7.0,1902.0,lav,727.0,150,346.0,138,83297,D,2100
"Østerbrogade 110, 2. ",55.703627,12.577697,16995000,Ejerlejlighed,7.0,1920.0,lav,408.0,89,55.0,264,64375,D,2100
Wiedeweltsgade 51,55.691033,12.572889,13995000,Rækkehus,4.0,1879.0,lav,778.0,283,218.0,135,103666,C,2100
"Serridslevvej 34, 2. tv",55.7068,12.572089,13850000,Ejerlejlighed,5.0,1920.0,lav,426.0,128,276.0,190,72894,C,2100
"Vordingborggade 90, 4. tv",55.708304,12.587826,2850000,Ejerlejlighed,2.0,1920.0,lav,692.0,70,218.0,50,57000,D,2100
"Livjægergade 32, 2. tv",55.699109,12.586491,5995000,Ejerlejlighed,3.0,1920.0,lav,549.0,101,186.0,81,74012,C,2100
"Egebæksvej 3, 1. ",55.719851,12.551214,6998000,Villalejlighed,4.0,1928.0,mellem,568.5,332,177.0,99,70686,C,2100
"Jagtvej 191, 4. th",55.707761,12.569077,6295000,Ejerlejlighed,4.0,1920.0,lav,541.0,336,408.0,108,58287,D,2100
"Borthigsgade 15, 2. ",55.711527,12.557327,5995000,Ejerlejlighed,4.0,1920.0,lav,568.5,163,301.0,119,50378,D,2100
"Holsteinsgade 57, 2. tv",55.700131,12.589003,11500000,Ejerlejlighed,5.0,1920.0,lav,701.0,119,359.0,144,79861,D,2100
"Nyborggade 8, 3. tv",55.709636,12.578846,2895000,Ejerlejlighed,2.0,1903.0,lav,115.0,155,77.0,55,52636,C,2100
"Jellingegade 7, st. tv",55.70662,12.579088,2795000,Ejerlejlighed,1.0,1905.0,lav,327.0,72,139.0,45,62111,D,2100
"Strandpromenaden 59, 1. ",55.720741,12.582488,13995000,Ejerlejlighed,4.0,2019.0,lav,630.0,557,297.0,167,83802,A2015,2100
Abildgaardsgade 22,55.691396,12.57476,16000000,Rækkehus,6.0,1882.0,lav,901.0,168,255.0,132,121212,C,2100
"Livjægergade 40, kl. th",55.699907,12.585888,3295000,Ejerlejlighed,3.0,1920.0,lav,503.0,22,270.0,71,46408,C,2100
"Rosenvængets Hovedvej 50, st. mf",55.701534,12.58761,11900000,Ejerlejlighed,3.0,1920.0,lav,637.0,132,217.0,123,96747,D,2100
"Scherfigsvej 13, st. tv",55.72194,12.580712,8495000,Ejerlejlighed,4.0,1920.0,lav,464.0,595,242.0,118,71991,C,2100
"Strandboulevarden 71, 4. th",55.704918,12.586687,3750000,Ejerlejlighed,2.0,1920.0,lav,781.0,128,172.0,61,61475,C,2100
"Nordre Frihavnsgade 94, st. tv",55.703425,12.589046,4095000,Ejerlejlighed,2.0,1900.0,lav,802.0,153,256.0,69,59347,C,2100
"Fiskedamsgade 27B, 5. tv",55.700203,12.586556,3195000,Ejerlejlighed,2.0,1900.0,lav,546.0,75,306.0,56,57053,C,2100
"Classensgade 17B, 2. tv",55.697338,12.582485,12250000,Ejerlejlighed,5.0,1920.0,lav,407.0,221,187.0,177,69209,D,2100
"Rosenvængets Hovedvej 38, st. tv",55.701168,12.586897,3495000,Ejerlejlighed,2.0,1938.0,lav,583.0,71,221.0,53,65943,D,2100
Jens Juels Gade 4,55.69077,12.575141,20250000,Rækkehus,5.0,1881.0,lav,891.0,176,197.0,180,112500,D,2100
"Thomas Laubs Gade 23, 1. th",55.714491,12.571636,3395000,Ejerlejlighed,2.0,1920.0,lav,670.0,81,275.0,58,58534,C,2100
"Lyngbyvej 32C, 10. mf",55.709437,12.562338,2645000,Ejerlejlighed,1.0,1972.0,lav,941.0,50,38.0,64,41328,B,2100
"Holsteinsgade 66, 3. 15",55.700306,12.590853,3995000,Ejerlejlighed,2.0,1920.0,lav,820.0,94,342.0,82,48719,D,2100
"Herninggade 15, 5. th",55.707891,12.588153,3795000,Ejerlejlighed,2.0,1920.0,lav,721.0,61,186.0,64,59296,D,2100
"Østerbrogade 52, 1. th",55.6971694,12.5795786,7595000,Ejerlejlighed,3.0,1898.0,lav,311.0,251,7.0,119,63823,C,2100
Soldalen 11,55.718685,12.579007,21750000,Rækkehus,9.0,1931.0,lav,801.0,240,216.0,205,106097,B,2100
"Lyngbyvej 72, 5. tv",55.712099,12.560252,3795000,Ejerlejlighed,3.0,1927.0,lav,568.5,39,130.0,88,43125,C,2100
"Marstalsgade 49, 6. th",55.704184,12.590023,2995000,Ejerlejlighed,2.0,1920.0,lav,898.0,108,181.0,48,62395,C,2100
"Dag Hammarskjölds Allé 1A, 2. ",55.693205,12.584331,25000000,Ejerlejlighed,6.0,1920.0,lav,851.0,423,282.0,254,98425,C,2100
"Trondhjemsgade 3, st. th",55.693851,12.587046,12995000,Ejerlejlighed,5.0,1907.0,lav,889.0,273,219.0,176,73835,D,2100
"Ålborggade 9, 3. tv",55.705614,12.578653,3495000,Ejerlejlighed,2.0,1893.0,lav,425.0,125,166.0,54,64722,C,2100
"Livjægergade 37, 1. tv",55.699137,12.586071,5995000,Ejerlejlighed,3.0,1895.0,lav,522.0,85,185.0,85,70529,C,2100
"Willemoesgade 19, 4. th",55.697978,12.58154,8900000,Ejerlejlighed,4.0,1920.0,lav,315.0,141,152.0,121,73553,C,2100
"Vordingborggade 39, 3. tv",55.7081,12.584841,5995000,Ejerlejlighed,3.0,1920.0,lav,511.0,129,183.0,85,70529,C,2100
"Dag Hammarskjölds Allé 1A, 3. ",55.693205,12.584331,25000000,Ejerlejlighed,7.0,1882.0,lav,851.0,423,282.0,254,98425,C,2100
"Livjægergade 21, st. tv",55.697484,12.587268,11495000,Ejerlejlighed,5.0,1907.0,lav,651.0,166,95.0,186,61801,C,2100
"Ringstedgade 8, 3. th",55.69795,12.582297,9995000,Ejerlejlighed,5.0,1920.0,lav,353.0,153,192.0,134,74589,C,2100
"Sankt Jakobs Plads 2, 2. ",55.703045,12.577912,13950000,Ejerlejlighed,5.0,1920.0,lav,343.0,66,119.0,180,77500,D,2100
"Engelstedsgade 6, 2. ",55.709998,12.559629,4699000,Villalejlighed,2.0,1913.0,lav,568.5,233,137.0,50,93980,C,2100
Engskiftevej 10,55.721149,12.572107,15500000,Villa,6.0,1920.0,lav,659.0,480,372.0,184,84239,A2010,2100
"Amerika Plads 10, 9. ",55.698807,12.59418,17000000,Ejerlejlighed,4.0,2007.0,lav,568.5,347,89.0,191,89005,B,2100
"Victor Bendix Gade 16, 1. tv",55.711919,12.566346,4695000,Ejerlejlighed,4.0,1920.0,lav,743.0,98,257.0,79,59430,C,2100
"Ålborggade 26, 2. tv",55.705599,12.579846,3795000,Ejerlejlighed,2.0,1920.0,lav,450.0,128,203.0,56,67767,C,2100
"Kirsteinsgade 7, st. tv",55.704029,12.578513,5795000,Ejerlejlighed,3.0,1920.0,lav,454.0,68,84.0,86,67383,C,2100
"Stockholmsgade 21, 2. th",55.690309,12.577023,8250000,Ejerlejlighed,3.0,1920.0,lav,972.0,160,238.0,87,94827,D,2100
"Langelinie Allé 3, 3. 1",55.695869,12.599272,13000000,Ejerlejlighed,4.0,1920.0,lav,568.5,243,389.0,157,82802,C,2100
"Strandvejen 77, st. ",55.719343,12.576694,5495000,Ejerlejlighed,5.0,1800.0,lav,734.0,236,149.0,122,45040,E,2100
"Webersgade 15, 1. th",55.690587,12.572854,4495000,Ejerlejlighed,3.0,1883.0,lav,751.0,234,172.0,66,68106,C,2100
Voldmestergade 17,55.693473,12.57686,16750000,Rækkehus,5.0,1876.0,lav,723.0,180,410.0,139,120503,C,2100
"Svanemøllevej 13, 2. ",55.719786,12.574796,7900000,Ejerlejlighed,4.0,1910.0,lav,714.0,297,210.0,122,64754,D,2100
"Herninggade 23, 3. tv",55.708293,12.587951,4850000,Ejerlejlighed,3.0,1920.0,lav,700.0,78,220.0,86,56395,D,2100
Hallinsgade 35,55.693059,12.575594,14895000,Rækkehus,6.0,1873.0,lav,780.0,183,346.0,129,115465,C,2100
"Randersgade 44, 5. ",55.706505,12.580585,7995000,Ejerlejlighed,4.0,1920.0,lav,385.0,123,94.0,106,75424,C,2100
